natural_protein_id,protein_name,n_rows,n_unique_8mers,n_rc_classes,n_missing_rc_classes,n_duplicate_rows,n_experiments,n_replicate_groups,dna_qc_pass,rc_qc_pass,has_protein_sequence,sequence_confidence,quality_level,quality_reason,training_candidate
UniPROBE:GB11:Mot3,Mot3,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Msn1,Msn1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Nrg2,Nrg2,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Pdr3,Pdr3,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Sko1,Sko1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Stb4,Stb4,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Stb5,Stb5,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Ste12,Ste12,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Stp1,Stp1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Sut1,Sut1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Upc2,Upc2,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Vhr1,Vhr1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Vhr2,Vhr2,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Yap3,Yap3,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Ybr033w,Ybr033w,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Yer184c,Yer184c,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Ylr278c,Ylr278c,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:GB11:Zap1,Zap1,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:LIU18A:BCL11A_23,BCL11A,65792,32896,32896,0,32896,2,2,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:LIU18A:BCL11A_456,BCL11A,65792,32896,32896,0,32896,2,2,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:LIU18A:BCL11A_XL,BCL11A,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:LIU18A:BCL11A_d23d456,BCL11A,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:LIU18A:BCL11B_23,BCL11B,65792,32896,32896,0,32896,2,2,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:LIU18A:BCL11B_456,BCL11B,65792,32896,32896,0,32896,2,2,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:LIU18A:BCL11B_XL,BCL11B,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:MBE14:PmTbr,PmTbr,65792,32896,32896,0,32896,2,2,True,True,False,low,low_confidence,complete PBM profile but no conservative protein sequence recovery,False
UniPROBE:MBE14:SpTbr,SpTbr,65792,32896,32896,0,32896,2,2,True,True,False,low,low_confidence,complete PBM profile but no conservative protein sequence recovery,False
UniPROBE:NAR10:GCN4,GCN4,32896,32896,32896,0,0,1,1,True,True,True,medium,usable,complete PBM profile and medium-confidence reference protein sequence,True
UniPROBE:NAR10:Jun_Fos,Jun_Fos,32896,32896,32896,0,0,1,1,True,True,True,medium,usable,complete PBM profile and medium-confidence reference protein sequence,True
UniPROBE:NAR11:HLH-1,HLH-1,98688,32896,32896,0,65792,3,3,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:NAR11:HLH-1_L13R,HLH-1,98688,32896,32896,0,65792,3,3,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:NAR11:HLH-1_L13T,HLH-1,98688,32896,32896,0,65792,3,3,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:NAR11:HLH-1_L13V,HLH-1,98688,32896,32896,0,65792,3,3,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:NBT06:CEH-22,CEH-22,32896,32896,32896,0,0,1,1,True,True,True,medium,usable,complete PBM profile and medium-confidence reference protein sequence,True
UniPROBE:NBT06:Cbf1,Cbf1,32896,32896,32896,0,0,1,1,True,True,True,medium,usable,complete PBM profile and medium-confidence reference protein sequence,True
UniPROBE:NBT06:Ceh-22,Ceh-22,32896,32896,32896,0,0,1,1,True,True,True,medium,usable,complete PBM profile and medium-confidence reference protein sequence,True
UniPROBE:NBT06:Oct-1,Oct-1,32896,32896,32896,0,0,1,1,True,True,True,medium,usable,complete PBM profile and medium-confidence reference protein sequence,True
UniPROBE:NBT06:Rap1,Rap1,32896,32896,32896,0,0,1,1,True,True,True,medium,usable,complete PBM profile and medium-confidence reference protein sequence,True
UniPROBE:NBT06:Zif268,Zif268,32896,32896,32896,0,0,1,1,True,True,True,medium,usable,complete PBM profile and medium-confidence reference protein sequence,True
UniPROBE:PNAS08:Cgd2_3490,Cgd2_3490_contig8mers.txt,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PNAS08:PF14_0633,PF14_0633_contig8mers.txt,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PNAS08:PFF0200c,PFF0200c_contig8mers.txt,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PNAS12:Lmd,Lmd,32896,32896,32896,0,0,1,1,True,True,True,high,high_confidence,complete PBM profile and high-confidence reference protein sequence,True
UniPROBE:PO10:GST-CSL-NOTCH1,GST-CSL-NOTCH1,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:GST-CSL_Fig2,GST-CSL,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:GST-CSL_Fig4,GST-CSL,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:GST-NOTCH1_CSL-6His,GST-NOTCH1_CSL-6His,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:GST-NOTCH1_CSL-6His_MAML1,GST-NOTCH1_CSL-6His_MAML1,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:GST-NOTCH1_Fig2,GST-NOTCH1,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:GST-NOTCH1_Fig4,GST-NOTCH1,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:MAML1-CSL-GST-NOTCH1_Fig2,MAML1-CSL-GST-NOTCH1,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:MAML1-CSL-GST-NOTCH1_Fig5,MAML1-CSL-GST-NOTCH1,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:MAML1-CSL-GST-NOTCH2_Fig5,MAML1-CSL-GST-NOTCH2,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:MAML1-CSL-GST-NOTCH2_FigS1,MAML1-CSL-GST-NOTCH2,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:MAML1-CSL-GST-NOTCH3,MAML1-CSL-GST-NOTCH3,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:PO10:MAML1-CSL-GST-NOTCH4,MAML1-CSL-GST-NOTCH4,32896,32896,32896,0,0,1,1,True,True,False,low,exclude,invalid DNA/RC check or complex/fusion/unclear factor label,False
UniPROBE:Path10:MAL8P1.153,MAL8P1.153,1103,1103,1103,31793,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF07_0126,PF07_0126,723,723,723,32173,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF10_0075_D1,PF10_0075,1391,1391,1391,31505,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF10_0075_D2,PF10_0075,341,341,341,32555,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF10_0075_D3,PF10_0075,1295,1295,1295,31601,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF11_0091,PF11_0091,998,998,998,31898,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF11_0442,PF11_0442,802,802,802,32094,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF13_0026,PF13_0026,740,740,740,32156,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF13_0097,PF13_0097,1767,1767,1767,31129,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF13_0235,PF13_0235,978,978,978,31918,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF13_0267,PF13_0267,2003,2003,2003,30893,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF14_0079,PF14_0079,1109,1109,1109,31787,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PF14_0533,PF14_0533,905,905,905,31991,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFD0985w_D1,PFD0985w,1942,1942,1942,30954,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFD0985w_D2,PFD0985w,1504,1504,1504,31392,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFE0840c,PFE0840c,1203,1203,1203,31693,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFF0200c_DLD,PFF0200c,320,320,320,32576,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFF0670w_D1,PFF0670w,1519,1519,1519,31377,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFF0670w_D2,PFF0670w,1725,1725,1725,31171,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFL1075w,PFL1075w,1641,1641,1641,31255,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFL1085w,PFL1085w,1327,1327,1327,31569,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFL1900w_D1,PFL1900w,772,772,772,32124,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
UniPROBE:Path10:PFL1900w_DLD,PFL1900w,1848,1848,1848,31048,0,1,1,True,True,False,low,low_confidence,incomplete contiguous 8-mer RC-class coverage,False
