method	protein_id	analysis_status	null_type	metric	permutation	null_value
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	25	-0.4450549450549451
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	26	0.054945054945054944
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	27	-0.45604395604395603
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	28	0.010989010989010988
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	29	0.09890109890109891
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	30	-0.46703296703296704
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	31	0.521978021978022
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	32	-0.39560439560439564
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	33	-0.7307692307692307
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	34	0.25274725274725274
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	35	-0.14835164835164835
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	36	0.4340659340659341
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	37	0.5274725274725275
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	38	0.021978021978021976
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	39	0.07142857142857142
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	40	0.5824175824175823
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	41	-0.25274725274725274
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	42	-0.2087912087912088
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	43	0.17032967032967034
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	44	-0.4450549450549451
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	45	0.3736263736263736
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	46	0.049450549450549455
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	47	0.21428571428571427
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	48	-0.054945054945054944
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	49	-0.13186813186813187
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	50	0.39010989010989006
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	51	0.1758241758241758
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	52	0.016483516483516484
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	53	-0.15384615384615383
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	54	-0.21978021978021978
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	55	0.09890109890109891
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	56	0.07142857142857142
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	57	-0.07142857142857142
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	58	0.510989010989011
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	59	-0.6813186813186813
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	60	0.0
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	61	-0.10989010989010989
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	62	-0.12087912087912088
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	63	-0.23076923076923078
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	64	0.2857142857142857
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	65	0.1043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	66	0.13736263736263735
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	67	0.5054945054945055
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	68	-0.4230769230769231
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	69	-0.19780219780219782
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	70	-0.14285714285714285
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	71	-0.32417582417582413
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	72	-0.4835164835164835
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	73	-0.18131868131868134
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	74	0.0
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	75	0.06593406593406594
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	76	0.06593406593406594
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	77	0.12087912087912088
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	78	-0.09890109890109891
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	79	-0.21428571428571427
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	80	0.30769230769230765
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	81	-0.11538461538461539
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	82	0.2912087912087912
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	83	-0.0934065934065934
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	84	0.1868131868131868
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	85	-0.2582417582417582
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	86	0.5054945054945055
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	87	0.14835164835164835
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	88	0.4340659340659341
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	89	-0.0879120879120879
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	90	0.19230769230769232
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	91	-0.04395604395604395
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	92	-0.5934065934065934
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	93	0.06593406593406594
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	94	-0.14835164835164835
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	95	0.38461538461538464
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	96	0.17032967032967034
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	97	-0.26373626373626374
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	98	0.0879120879120879
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	99	0.25274725274725274
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	100	-0.12087912087912088
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	101	0.09890109890109891
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	102	0.25274725274725274
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	103	-0.010989010989010988
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	104	0.15934065934065936
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	105	-0.08241758241758242
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	106	0.1758241758241758
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	107	0.016483516483516484
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	108	-0.04395604395604395
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	109	0.32967032967032966
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	110	0.40659340659340654
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	111	-0.4010989010989011
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	112	0.016483516483516484
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	113	0.24725274725274726
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	114	0.25274725274725274
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	115	0.07692307692307691
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	116	0.3516483516483516
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	117	-0.4175824175824176
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	118	0.2967032967032967
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	119	-0.19780219780219782
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	120	0.24175824175824176
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	121	-0.0934065934065934
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	122	0.14285714285714285
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	123	-0.13736263736263735
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	124	0.39010989010989006
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	125	0.03296703296703297
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	126	0.2747252747252747
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	127	-0.46703296703296704
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	128	-0.027472527472527472
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	129	-0.6813186813186813
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	130	0.25274725274725274
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	131	0.09890109890109891
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	132	0.005494505494505494
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	133	0.576923076923077
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	134	0.32417582417582413
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	135	-0.23626373626373626
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	136	-0.13186813186813187
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	137	0.049450549450549455
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	138	0.32967032967032966
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	139	-0.3681318681318681
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	140	-0.04395604395604395
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	141	-0.23626373626373626
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	142	0.21428571428571427
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	143	-0.6208791208791209
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	144	-0.4010989010989011
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	145	0.18131868131868134
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	146	0.15384615384615383
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	147	0.12637362637362637
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	148	-0.39010989010989006
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	149	0.24725274725274726
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	150	-0.1758241758241758
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	151	-0.027472527472527472
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	152	-0.4725274725274725
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	153	-0.19230769230769232
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	154	0.5714285714285714
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	155	0.48901098901098894
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	156	0.06593406593406594
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	157	-0.6978021978021978
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	158	0.24175824175824176
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	159	0.12087912087912088
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	160	-0.30769230769230765
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	161	0.20329670329670327
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	162	-0.2747252747252747
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	163	-0.016483516483516484
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	164	-0.32417582417582413
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	165	0.13186813186813187
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	166	-0.07142857142857142
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	167	-0.3736263736263736
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	168	0.010989010989010988
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	169	0.30769230769230765
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	170	-0.06593406593406594
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	171	-0.1043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	172	-0.14285714285714285
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	173	-0.33516483516483514
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	174	-0.4450549450549451
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	175	0.21978021978021978
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	176	0.1868131868131868
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	177	-0.46703296703296704
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	178	-0.23076923076923078
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	179	0.532967032967033
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	180	0.4175824175824176
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	181	0.13186813186813187
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	182	0.15384615384615383
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	183	0.4835164835164835
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	184	0.03296703296703297
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	185	-0.14835164835164835
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	186	0.26373626373626374
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	187	-0.4945054945054945
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	188	-0.13736263736263735
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	189	-0.15934065934065936
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	190	-0.4175824175824176
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	191	-0.7472527472527472
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	192	0.06043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	193	-0.12637362637362637
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	194	-0.15934065934065936
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	195	-0.054945054945054944
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	196	-0.4340659340659341
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	197	-0.12637362637362637
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	198	0.0934065934065934
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	199	0.08241758241758242
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	200	-0.5274725274725275
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	201	0.054945054945054944
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	202	-0.47802197802197804
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	203	0.13736263736263735
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	204	0.45604395604395603
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	205	-0.06593406593406594
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	206	0.0
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	207	-0.23076923076923078
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	208	-0.5879120879120878
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	209	0.12637362637362637
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	210	0.3131868131868132
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	211	0.1043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	212	0.010989010989010988
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	213	0.5164835164835164
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	214	0.32967032967032966
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	215	-0.3681318681318681
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	216	0.34615384615384615
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	217	0.049450549450549455
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	218	-0.04395604395604395
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	219	0.21428571428571427
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	220	0.054945054945054944
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	221	-0.2087912087912088
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	222	0.5054945054945055
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	223	0.0934065934065934
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	224	-0.3736263736263736
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	225	0.005494505494505494
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	226	-0.08241758241758242
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	227	-0.23626373626373626
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	228	-0.19230769230769232
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	229	-0.07142857142857142
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	230	0.4340659340659341
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	231	0.4010989010989011
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	232	0.2747252747252747
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	233	0.17032967032967034
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	234	0.3626373626373627
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	235	-0.4340659340659341
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	236	-0.16483516483516483
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	237	-0.15384615384615383
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	238	-0.48901098901098894
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	239	0.09890109890109891
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	240	0.5604395604395606
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	241	0.10989010989010989
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	242	0.3186813186813187
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	243	0.23626373626373626
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	244	-0.21978021978021978
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	245	-0.4450549450549451
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	246	0.26373626373626374
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	247	0.03296703296703297
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	248	-0.33516483516483514
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	249	-0.2802197802197803
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	250	0.016483516483516484
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	251	0.4340659340659341
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	252	0.4725274725274725
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	253	-0.17032967032967034
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	254	0.054945054945054944
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	255	-0.08241758241758242
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	256	0.16483516483516483
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	257	-0.016483516483516484
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	258	-0.3681318681318681
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	259	-0.4230769230769231
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	260	-0.15934065934065936
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	261	0.2912087912087912
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	262	0.016483516483516484
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	263	-0.2747252747252747
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	264	-0.15384615384615383
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	265	-0.24175824175824176
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	266	-0.43956043956043955
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	267	0.13736263736263735
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	268	-0.005494505494505494
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	269	0.06593406593406594
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	270	0.43956043956043955
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	271	-0.03846153846153846
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	272	0.2802197802197803
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	273	-0.15934065934065936
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	274	-0.18131868131868134
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	275	0.3131868131868132
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	276	-0.11538461538461539
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	277	-0.521978021978022
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	278	-0.5054945054945055
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	279	-0.1043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	280	0.03846153846153846
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	281	0.21428571428571427
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	282	0.32417582417582413
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	283	0.2087912087912088
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	284	-0.06043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	285	0.2692307692307692
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	286	0.48901098901098894
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	287	-0.14285714285714285
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	288	0.40659340659340654
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	289	-0.21428571428571427
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	290	0.24725274725274726
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	291	-0.2857142857142857
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	292	-0.40659340659340654
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	293	0.6208791208791209
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	294	-0.1868131868131868
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	295	0.2087912087912088
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	296	0.12087912087912088
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	297	-0.35714285714285715
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	298	0.027472527472527472
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	299	0.027472527472527472
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	300	0.18131868131868134
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	301	-0.21428571428571427
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	302	0.21978021978021978
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	303	0.04395604395604395
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	304	-0.1868131868131868
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	305	-0.26373626373626374
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	306	0.03296703296703297
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	307	0.39010989010989006
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	308	0.03296703296703297
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	309	0.40659340659340654
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	310	0.32417582417582413
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	311	0.06043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	312	0.2747252747252747
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	313	0.25274725274725274
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	314	-0.005494505494505494
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	315	-0.016483516483516484
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	316	0.2747252747252747
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	317	0.03296703296703297
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	318	0.06043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	319	0.15384615384615383
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	320	-0.14835164835164835
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	321	0.41208791208791207
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	322	-0.2802197802197803
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	323	-0.23076923076923078
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	324	-0.3736263736263736
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	325	0.17032967032967034
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	326	0.0
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	327	0.34615384615384615
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	328	-0.3131868131868132
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	329	0.1043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	330	0.22527472527472525
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	331	-0.3516483516483516
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	332	0.16483516483516483
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	333	0.4835164835164835
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	334	0.19780219780219782
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	335	0.09890109890109891
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	336	0.46153846153846156
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	337	0.5549450549450549
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	338	-0.1758241758241758
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	339	-0.005494505494505494
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	340	0.5
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	341	-0.23626373626373626
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	342	0.4175824175824176
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	343	-0.027472527472527472
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	344	-0.1043956043956044
